Enddate,Name,Region,ID,Headline,Copyright
20240430,CheetahRain,PT-BR,5107827451,"Velozes e Peludos","Guepardo na chuva da manhã, Planícies de Ndutu, Área de Conservação de Ngorongoro, Tanzânia (© Paul Souders/Getty Images)"
20240501,DiadaLiteraturaBrasileira,PT-BR,6259851380,"Um destino literário","Real Gabinete Portugues de Leitura, Rio de Janeiro (© Wagner Meier/Getty Images)"
20240502,CratersOfTheMoon,PT-BR,6520589652,"Destino Lunar dos Terrestres!","Fluxo de lava Dragão Azul, Monumento e Reserva Nacional Crateras da Lua, Idaho, EUA (© Alan Majchrowicz/Getty Images)"
20240503,DiadoSertanejo,PT-BR,9682293877,"Ando devagar porque já tive pressa...","Colorido atardecer en Pantanal, Brasil (© filipefrazao/Getty Images)"
20240504,JediMonastery,PT-BR,8049739935,"A celebração galáctica","As ruínas de um antigo mosteiro na ilha de Skellig Michael, Irlanda (© MNStudio/Getty Images)"
20240505,SanMiguelAllende,PT-BR,8483156225,"Encante-se com San Miguel de Allende!","Colunata em San Miguel de Allende, Guanajuato, México (© Mint Images/Getty Images)"
20240506,RiverNekarHeidelberg,PT-BR,6227220024,"Vista de cartão postal","Heidelberg, no rio Neckar, em Baden-Württemberg, Alemanha (© Juergen Sack/Getty Images)"
20240508,PortMarseille,PT-BR,3194394496,"海港景色","伊夫堡，马赛，法国 (© Sergii Figurnyi/Alamy)"
20240508,IguazuTurism,PT-BR,9760109650,"Tesouros nacionais","Cataratas do Iguaçu durante o amanhecer (© SinghaphanAllB/Moment/Getty Images)"
20240509,EmirganPark,PT-BR,9433604698,"Tulipas em tons vibrantes","Tulipas no Emirgan Park em Istambul, Turquia (© Ozbalci/Getty Images)"
20240510,MisoolRajaAmpat,PT-BR,6517717174,"A magia da ilha","Misool, Ilhas Raja Ampat, Indonésia (© Giordano Cipriani/Getty Images)"
20240511,TexasIndigoBunting,PT-BR,6730881258,"O voo da esperança","Um azulão empoleirado em um galho, Texas, Estados Unidos (© Jeff R Clow/Getty Images)"
