Enddate,Name,Region,ID,Headline,Copyright
20240501,HawaiianLei,IT-IT,8543155647,"Primo Maggio alle Hawaii","Ghirlande di fiori hawaiani, Hawaii, Stati Uniti (© Jotika Pun/Shutterstock)"
20240502,CratersOfTheMoon,IT-IT,8708957821,"Fino alla luna e ritorno","Flusso di lava del Drago Blu, Monumento e riserva nazionale Craters of the Moon, Idaho, USA (© Alan Majchrowicz/Getty Images)"
20240503,SonoranSpring,IT-IT,9351993894,"Anche i deserti fioriscono!","Fioritura primaverile dei cespugli, deserto di Sonora, Arizona, Stati Uniti (© Charles Harker/Getty Images)"
20240504,GirodItalia2024,IT-IT,9407204320,"Perchè tutti in bici?","Giro d'Italia, Ciclisti sulle Dolomiti (© Tim de Waele/Staff/Getty Images)"
20240505,OrkneyStones,IT-IT,2078101217,"Che massi imponenti!","Il Cerchio di Brodgar, Orcadi, Scozia (© Paul Williams - FunkyStock/Getty Images)"
20240506,JediMonastery,IT-IT,4680145020,"Che la "forza" sia con te oggi e sempre, giovane Jedi!","Le rovine di un antico monastero sull'isola di Skellig Michael, Irlanda (© MNStudio/Getty Images)"
20240507,LaGeriaLanzarote,IT-IT,5537790219,"Un sorso dopo l'altro","Vigneto vulcanico a Lanzarote, Isole Canarie (© Pol Albarrán/Getty Images)"
20240508,PortMarseille,IT-IT,3194394496,"海港景色","伊夫堡，马赛，法国 (© Sergii Figurnyi/Alamy)"
20240509,EmirganPark,IT-IT,4111429731,"Un letto fiorito!","Tulips at Emirgan Park in Istanbul, Türkiye (© Ozbalci/Getty Images)"
20240510,MisoolRajaAmpat,IT-IT,8362086795,"Ascolta il richiamo delle isole!","Misool, Isole Raja Ampat, Indonesia (© Giordano Cipriani/Getty Images)"
20240511,TexasIndigoBunting,IT-IT,9364925475,"Cinguettando "bon voyage"","Uno zigolo indaco appollaiato su un ramo, Texas, USA (© Jeff R Clow/Getty Images)"
20240512,BabyDolphinMom,IT-IT,8782194786,"Festeggiamo le mamme di tutto il mondo!","Vista dall'alto di delfini che nuotano nel mare, Genova, Italia (© Andrea Izzotti/500px/Getty Images)"
20240513,NamibiaCanyon,IT-IT,9781699785,"Una visione a 180°","Canyon del fiume Fish, Namibia (© R. M. Nunes/Getty Images)"
20240514,CarlsbadNP,IT-IT,7707347019,"Dondolando negli abissi","Passerella che conduce alla Big Room, Carlsbad Caverns, Nuovo Messico, USA (© Doug Meek/Getty Images)"
20240515,BlueCityIndia,IT-IT,7121297677,"Persi in una terra azzurra e meravigliosa","La città blu di Jodhpur, India (© cinoby/Getty Images)"
20240516,DayOfLight,IT-IT,0477712926,"Padiglione Photon",""Feelings are Facts", dell'artista Olafur Eliasson e dell'architetto Ma Yansong, Pechino, Cina (© Feng Li/Getty Images News)"
20240517,BergamoAlta,IT-IT,3472701981,"Che vista e che magnifica torre!","Vista di Bergamo Alta durante il tramonto, Lombardia, Italia (© Deimagine/Getty Images)"
20240518,MuseumWhale,IT-IT,4738172799,"Un cetaceo impressionante!","Scheletro della balenottera Azzurra “Hope”, Museo di Storia Naturale di Londra, Inghilterra (© Bailey-Cooper Photography/Alamy)"
20240519,VernazzaItaly,IT-IT,4901627475,"Che luogo rilassante!","Vernazza, Cinque Terre, Liguria, Italia (© Roberto Moiola/Sysaworld/Getty Images)"
20240520,HoneycombBee,IT-IT,9529563707,"Indaffarata come al solito!","Un’ape che cura un favo (© Simun Ascic/Alamy)"
20240521,MalaysiaTea,IT-IT,5477437805,"Una giornata all'insegna del tè","Piantagione di tè, Cameron Highlands, Malaysia (© alex cheong/Getty Images)"
20240522,SnowGumTasmania,IT-IT,5111843479,"Immergetevi nella diversità","Gomma delle nevi della Tasmania (Eucalyptus pauciflora), Parco Nazionale di Mount Field, Tasmania, Australia (© Ignacio Palacios/Getty Images)"
20240523,IndianStarTortoise,IT-IT,5611549896,"Chi va piano va sano e va lontano","Tartaruga stellata indiana, Sri Lanka (© Robin Chittenden/Minden Pictures)"
20240524,OrdesaNationalPark,IT-IT,5681157201,"Andiamo fino in cima!","Gola di Añisclo, Parco Nazionale di Ordesa e Monte Perdido, Huesca, Spagna (© Marisa Estivill/Shutterstock)"
20240525,MoroccoBenhaddou,IT-IT,7804111538,"Guardiani delle dune","Ait-Ben-Haddou, Marocco (© Grant Faint/Getty Images)"
20240526,MethowWildflowers,IT-IT,7261352417,"Liberi e selvaggi","Balsamorhiza sagittata e lupini, Methow Valley, North Cascades, Washington, USA (© Alan Majchrowicz/Getty Images)"
20240527,SestriLevante,IT-IT,7994211355,"Partiamo per un giro in barca!","Baia del Silenzio in Sestri Levante, Liguria, Italia (© StevanZZ/Getty Images)"
20240528,MeteoraMonastery,IT-IT,6224656516,"In cima al mondo","Monastero di Roussanou, Meteora, Tessaglia, Grecia (© Marius Roman/Getty Images)"
20240529,MullOtter,IT-IT,5835725538,"Vivacità acquatica","Lontre europee adolescenti, Loch Spelve, Isola di Mull, Scozia (© Neil Henderson/Alamy)"
20240530,Everglades90th,IT-IT,9833292741,"Felicissimi di essere qui!","Complesso di pini da taglio e prateria di segatura nel Parco Nazionale delle Everglades, Florida, USA (© Jonathan Gewirtz/Tandem Stills + Motion)"
20240531,YorkshireDalesNP,IT-IT,9821537287,"Armonia di verde e pietra","Gunnerside, Swaledale, Parco Nazionale delle Yorkshire Dales, Inghilterra (© Derek Croucher/Alamy Stock Photo)"
20240601,PrideMonthSF,IT-IT,0189244856,"Orgoglio senza pregiudizio","Il centro civico di San Francisco illuminato con luci arcobaleno per il Pride, California, USA (© Josh Edelson/AFP via Getty Images)"
20240602,ItalyFlag,IT-IT,1674511086,"Viva la Repubblica!","Festa della Repubblica (© Independent Photo Agency Srl)"
20240603,CopenhagenBicycles,IT-IT,2125819648,"Sinfonia di biciclette","Biciclette a Copenaghen, Danimarca (© Alphotographic/Getty Images)"
20240604,ChestnutBeeEater,IT-IT,3152555866,"Amici di penna?","Gruccione testacastana, Parco Nazionale Reale di Bardia, Nepal (© PACO COMO/Shutterstock)"
20240605,MadagascarRiver,IT-IT,3546941915,"Paradiso terrestre","Parco Nazionale di Masoala, Madagascar (© Dennis van de Water/Shutterstock)"
20240606,LesBravesNormandy,IT-IT,3884856406,"Monumento alla gloria","Monumento Les Braves sulla spiaggia di Omaha, Normandia, Francia (© Christopher Furlong/Getty Images)"
20240607,HumpbackFamily,IT-IT,4429880425,"Le onde della speranza","Famiglia di megattere, Dutch Harbor, Alaska, USA (© Jude Newkirk/Amazing Aerial Agency)"
20240608,KillikRiverAlaska,IT-IT,4840241449,"Incontri acquatici","Confluenza dell'Easter Creek e del fiume Killik, Parco Nazionale e Riserva Gates of the Arctic, Alaska, USA (© Patrick J. Endres/Getty Images)"
20240609,BardenasBiosphere,IT-IT,6167554797,"Vette incantate","Riserva della Biosfera e Parco Naturale Bardenas Reales, Bardenas, Navarra, Spagna (© Aliaume Chapelle/Tandem Stills + Motion)"
20240610,OsakaNight,IT-IT,6949418703,"Splendida splendente","Osaka di notte, Giappone (© wichianduangsri/Getty Images)"
20240611,ViesteItaly,IT-IT,7489172458,"Sussurri marini","Vieste sulla penisola del Gargano, Puglia, Italia (© Pilat666/Getty Images)"
20240612,BigBendMilkyWay,IT-IT,7811408807,"Sinfonia stellare","Via Lattea, Parco Nazionale di Big Bend, Texas, USA (© wisanuboonrawd/Adobe Stock)"
